"parameter","x","component","group","domain","objective","unit","profile_type","axis_label","axis_definition","target","converged","target_attained","objective_basis"
"Steepness",0.5,"Index","Reference","total",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.5,TRUE,TRUE,"unpenalized"
"Steepness",0.55,"Index","Reference","total",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.55,TRUE,TRUE,"unpenalized"
"Steepness",0.6,"Index","Reference","total",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.6,TRUE,TRUE,"unpenalized"
"Steepness",0.65,"Index","Reference","total",0.249999999999999,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.65,TRUE,TRUE,"unpenalized"
"Steepness",0.7,"Index","Reference","total",0,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.7,TRUE,TRUE,"unpenalized"
"Steepness",0.75,"Index","Reference","total",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.75,TRUE,TRUE,"unpenalized"
"Steepness",0.8,"Index","Reference","total",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.8,TRUE,TRUE,"unpenalized"
"Steepness",0.85,"Index","Reference","total",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.85,TRUE,TRUE,"unpenalized"
"Steepness",0.9,"Index","Reference","total",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.9,TRUE,TRUE,"unpenalized"
"Steepness",0.95,"Index","Reference","total",6.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.95,TRUE,TRUE,"unpenalized"
"Steepness",0.5,"Composition","Reference","total",9,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.5,TRUE,TRUE,"unpenalized"
"Steepness",0.55,"Composition","Reference","total",6.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.55,TRUE,TRUE,"unpenalized"
"Steepness",0.6,"Composition","Reference","total",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.6,TRUE,TRUE,"unpenalized"
"Steepness",0.65,"Composition","Reference","total",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.65,TRUE,TRUE,"unpenalized"
"Steepness",0.7,"Composition","Reference","total",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.7,TRUE,TRUE,"unpenalized"
"Steepness",0.75,"Composition","Reference","total",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.75,TRUE,TRUE,"unpenalized"
"Steepness",0.8,"Composition","Reference","total",0,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.8,TRUE,TRUE,"unpenalized"
"Steepness",0.85,"Composition","Reference","total",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.85,TRUE,TRUE,"unpenalized"
"Steepness",0.9,"Composition","Reference","total",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.9,TRUE,TRUE,"unpenalized"
"Steepness",0.95,"Composition","Reference","total",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.95,TRUE,TRUE,"unpenalized"
"Steepness",0.5,"Index","Reference","index",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.5,TRUE,TRUE,"unpenalized"
"Steepness",0.55,"Index","Reference","index",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.55,TRUE,TRUE,"unpenalized"
"Steepness",0.6,"Index","Reference","index",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.6,TRUE,TRUE,"unpenalized"
"Steepness",0.65,"Index","Reference","index",0.249999999999999,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.65,TRUE,TRUE,"unpenalized"
"Steepness",0.7,"Index","Reference","index",0,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.7,TRUE,TRUE,"unpenalized"
"Steepness",0.75,"Index","Reference","index",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.75,TRUE,TRUE,"unpenalized"
"Steepness",0.8,"Index","Reference","index",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.8,TRUE,TRUE,"unpenalized"
"Steepness",0.85,"Index","Reference","index",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.85,TRUE,TRUE,"unpenalized"
"Steepness",0.9,"Index","Reference","index",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.9,TRUE,TRUE,"unpenalized"
"Steepness",0.95,"Index","Reference","index",6.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.95,TRUE,TRUE,"unpenalized"
"Steepness",0.5,"Composition","Reference","index",9,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.5,TRUE,TRUE,"unpenalized"
