"check","status","value","threshold","detail","model","label"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","reference","Diagnostic model"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","reference","Diagnostic model"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","reference","Diagnostic model"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","trial-1","Jitter 1"
"maximum_gradient","passed",2e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","trial-1","Jitter 1"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","trial-1","Jitter 1"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","trial-2","Jitter 2"
"maximum_gradient","passed",3e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","trial-2","Jitter 2"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","trial-2","Jitter 2"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","trial-3","Jitter 3"
"maximum_gradient","passed",4e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","trial-3","Jitter 3"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","trial-3","Jitter 3"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","trial-4","Jitter 4"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","trial-4","Jitter 4"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","trial-4","Jitter 4"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","trial-5","Jitter 5"
"maximum_gradient","passed",6e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","trial-5","Jitter 5"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","trial-5","Jitter 5"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","trial-6","Jitter 6"
"maximum_gradient","passed",7e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","trial-6","Jitter 6"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","trial-6","Jitter 6"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","trial-7","Jitter 7"
"maximum_gradient","passed",8e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","trial-7","Jitter 7"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","trial-7","Jitter 7"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","trial-8","Jitter 8"
"maximum_gradient","failed",0.004,1e-04,"Maximum absolute gradient on the fitted parameter scale","trial-8","Jitter 8"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","trial-8","Jitter 8"
