"check","status","value","threshold","detail","model","label"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","truth","Generating truth"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","truth","Generating truth"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","truth","Generating truth"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","replicate-1","Refit 1"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","replicate-1","Refit 1"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","replicate-1","Refit 1"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","replicate-2","Refit 2"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","replicate-2","Refit 2"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","replicate-2","Refit 2"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","replicate-3","Refit 3"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","replicate-3","Refit 3"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","replicate-3","Refit 3"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","replicate-4","Refit 4"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","replicate-4","Refit 4"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","replicate-4","Refit 4"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","replicate-5","Refit 5"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","replicate-5","Refit 5"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","replicate-5","Refit 5"
